text,true_label,pred_label,llm_response,k_shot,prompt_style,protocol
"Melania Trump's full speech at 2016 Republican National Convention, and comparison to Michelle Obama",1,1,1,0,no-cot,balanced-held-out-test
"@user India, I am sure top management/Admin would've fallen Prey to Leftists'/Psedoseculiars' setting tempetions -:)!",0,2,2,0,no-cot,balanced-held-out-test
@user @user @user Now that is awesome #mannequinchallenge #WeAre,2,2,2,0,no-cot,balanced-held-out-test
"Breaking News!! Hear this all Homosexual people not everyone supports gay marriage, some people believe marriage is…",1,1,1,0,no-cot,balanced-held-out-test
@user The majority of the deplorables that voted for Trump Dumb,1,0,0,0,no-cot,balanced-held-out-test
@user He's not talking about killing Americans via drone strikes like your head thug obama!,0,2,2,0,no-cot,balanced-held-out-test
#Saakashvili has his say on #Ukraine #Odessa #Georgia,1,1,1,0,no-cot,balanced-held-out-test
Burtle for sale! DM me! #Hatchimals #hatchimal #blackfriday #burtle,2,2,2,0,no-cot,balanced-held-out-test
It's funny to watch the news stations try to figure Donald Trump out when he is putting his cabinet togetherSo funny,1,2,2,0,no-cot,balanced-held-out-test
One of my first papers in grad. school was about how the Feds engineered US housing patterns since the 1920s.…,1,1,1,0,no-cot,balanced-held-out-test
Grayson Allen is so cute 😭😭😭,2,2,2,0,no-cot,balanced-held-out-test
Hacked PELOSI emails CONFIRM Dems responsible for Mayhem in Cleveland during RNC proving they are Party of DISGUST!,0,0,0,0,no-cot,balanced-held-out-test
It's more difficult to move to Mexico as the Clintons built a bloody great fence all along the Border…,0,0,0,0,no-cot,balanced-held-out-test
"@user Kim Jong Un wishes his propaganda was a good as this.  BHO never uses the restroom either, We believe that. Wink wink",0,0,0,0,no-cot,balanced-held-out-test
Charles rails on bible thumping conservatives all the time and I find it funny because they're always taken a back that a veteran is going—,0,2,2,0,no-cot,balanced-held-out-test
Watching Scream Queens Season 2 Episode 5 'Chanel Pour Homme-icide' #ScreamQueens #ChanelPourHommeIcide @user,1,2,2,0,no-cot,balanced-held-out-test
New #BeautyAndTheBeast photo of Gaston wooing Belle @user @user,2,2,2,0,no-cot,balanced-held-out-test
"Published on Nov 18, 2016Speech by Stephen K. Bannon (Steve Bannon), Donald Trump's senior strategic advisor and...",1,1,1,0,no-cot,balanced-held-out-test
"This woman is still talking about Melania Trump's admittedly plagiarized speech, guys.As in, she's still saying i…",1,0,0,0,no-cot,balanced-held-out-test
"Tonight's plan is to sketch, design and colour in clothes, shoes and accessories for all our favourite characters f…",2,2,2,0,no-cot,balanced-held-out-test
Retweeted Medical Marijuana (@AmericanGanja):So it's legal for a single doctor to prescribe these dangerous...,0,0,0,0,no-cot,balanced-held-out-test
"{New Post} Yolanda Adams and Common singing ""Glory"" at the BET's #ThankYouObama event: This is an awesome rendition…",2,2,2,0,no-cot,balanced-held-out-test
"@user @user BEING DESPERATE CALLS FOR DESPERATE MORONIC ACTIONS....FUNNY THOU 😂CNN NEEDS RATING AT AT COST,AS WELL AS ANY LIBERALS MEDIA",0,2,2,0,no-cot,balanced-held-out-test
Day 2 of vegetarianism 🍏🍐🍓🍇🍌 going good 😊👍🏻✌🏻️,2,2,2,0,no-cot,balanced-held-out-test
"3D printing is great fun, even the cheaper kits turn out reasonable quality.",2,2,2,0,no-cot,balanced-held-out-test
@user Kim Jong-un can help you. He can show you the way.,2,0,0,0,no-cot,balanced-held-out-test
"@user @user When Hillary said, ""Basket of Deplorables."" That outcome was awesome.",2,2,2,0,no-cot,balanced-held-out-test
@user I agree wholeheartedly! #notmyprsident #StillWithHer #sanders @user @user @user @user #TGIFriday,2,2,2,0,no-cot,balanced-held-out-test
"When Media sells killer vaccines,give it FEAR label: ZIKA;  when MEDIA wants2hide a REAL DANGER (Black violence), I…",0,0,0,0,no-cot,balanced-held-out-test
Obama's dirty secret: Funded fossil fuel projects worldwide while cutting American power plants & jobs #ObamasLegacy,0,0,0,0,no-cot,balanced-held-out-test
"Arsonists setting fires in #Israel, now the hills of #Jerusalem are burning😥🇮🇱 #IsraelFires #arson #Arabs #Jews",0,0,0,0,no-cot,balanced-held-out-test
"FrPavone: ""total number of deaths by capital punishment, for our entire history, is less than the number of deaths by abortion every 5days""",0,2,2,0,no-cot,balanced-held-out-test
The Egyptian President Mikheil Saakashvili said he would explain if wanting to do it as a record of Palestinian ambitions.,1,1,1,0,no-cot,balanced-held-out-test
@user wasn't it raised in 2-3 days?? Report said George Soros cyber bots contributed $165k per hour for a couple days.,0,0,0,0,no-cot,balanced-held-out-test
@user @user @user religion is a scare tactic and these folks are a prime example. #stomptheyard  #steppinforchrist,0,0,0,0,no-cot,balanced-held-out-test
Operated by Imura Works of Imura has been working to protect the freedom of gun rights and 3D printing workPlease support the activities!!,2,2,2,0,no-cot,balanced-held-out-test
Follow my buddy @user Want on my list of friend promos tweet me (Interactive Followers Only)#PJNET #Tcot #Tlot #TPP #TeaParty,1,1,1,0,no-cot,balanced-held-out-test
Please don't consider donating to @user They'll just buy more euthanasia.,0,0,0,0,no-cot,balanced-held-out-test
"@user spends $Millions on politicians like #Giuliani, to push #iran war, makes Kim Jong Un look humble!https://t.co/sQpap31XUj",0,0,0,0,no-cot,balanced-held-out-test
@user @user all the liberals in the US will be morning their hero. Let's see if Obama lowers white house flag.,0,0,0,0,no-cot,balanced-held-out-test
#Beauty #ArianaGrande-CHRISTMAS & CHILL-JAPAN ONLY #CD BONUS TRACK C94 #Deals #TopSeller,2,2,2,0,no-cot,balanced-held-out-test
Oral history & policy by @user  or why #RCT is not the gold standard  @user @user @user,1,1,1,0,no-cot,balanced-held-out-test
Urban landscapes will have far fewer cars#carsharing #autonomous #Driverless #selfdriving #uber #lyft #SmartCity,1,2,2,0,no-cot,balanced-held-out-test
"VIDEO: #Russia FM Lavrov (@mfa_russia) caught lying red-handed about airstrikes in #Aleppo, #Idlib & #Homs in…",0,2,2,0,no-cot,balanced-held-out-test
Bad hombres. Raul about to shoot innocent man,0,0,0,0,no-cot,balanced-held-out-test
.@DefraGovUK please can you stop hiding discussions on #fracking and make sure people aren't kept in the dark on an important issue?,1,0,0,0,no-cot,balanced-held-out-test
@user @user UR going 2 love Steve Bannon as DJT's senior advisor 😂😂😂,2,2,2,0,no-cot,balanced-held-out-test
@user Love It!Following! Retweeted! #WIN  Oh fantastic 💖💖 #Hatchimals #BlackFriday,2,2,2,0,no-cot,balanced-held-out-test
Who Are the Millions of ‘Bad Hombres’ Slated for US Deportation? via @user,1,0,0,0,no-cot,balanced-held-out-test
Well said #Muhammad Ali Jinnah,2,2,2,0,no-cot,balanced-held-out-test
The Chanelles in #ScreamQueens are more authentic medical practitioners than the Syrian White Helmets. #FakeNews,1,2,2,0,no-cot,balanced-held-out-test
"Gold heart earrings, Textured gold heart charm dangle earrings, heart jewelry, valentines..",2,2,2,0,no-cot,balanced-held-out-test
Samsungs galaxy note 7 smartphone banned from all #TechNews #Tech #News #Gadget #Apps,1,0,0,0,no-cot,balanced-held-out-test
"@user HAS THE HILL REPORTED ON THE ANTI TRUMP RIOTS? LOOTING,BURNING DESTROYING BUSINESSES ? ARE THE THUGS  AND KIDS RUNNING OUR COUNTRY?",0,0,0,0,no-cot,balanced-held-out-test
Yep... they are staying put... Amazing work Mike Pence,2,2,2,0,no-cot,balanced-held-out-test
Here's Putin's man in our White House.@LindseyGrahamSC @user @user @user @user,1,0,0,0,no-cot,balanced-held-out-test
@user Check the Clinton Foundation for contributions to Jill Stein!  There's your problem!  Hillary still in the game and trying,0,0,0,0,no-cot,balanced-held-out-test
It already WAS normalized. See: Obamacare MT @user Business-specific meddling shouldn't be normalized.,0,0,0,0,no-cot,balanced-held-out-test
Donald Trump and the Rise of White Supremacist Media @user #NotMyPresident #uniteblue #Resist #MAGA #tcot @user,0,0,0,0,no-cot,balanced-held-out-test
Shout out car crashes. Shout out Kim Jong Un. Shout out the Lakers maybe signing him to a 10-day for this game.,1,0,0,0,no-cot,balanced-held-out-test
Great news from meeting of @user @user and @user #Ukraine soon to get visa-free #Schengen access.,2,2,2,0,no-cot,balanced-held-out-test
What would The [un] @user & Conservatives say if @user or @user did a secret deal to give $300miln to WA? #auspol,0,0,0,0,no-cot,balanced-held-out-test
People are going to protest trump for 4 years and will accomplish nothing,0,0,0,0,no-cot,balanced-held-out-test
@user @user @user @user Too bad #MH17 truth comes free. I know how that really bugs piss out of you paid #Kremlintrolls,0,0,0,0,no-cot,balanced-held-out-test
@user i keep my social security card in there cuz i figure no one would willingly open up and read pokespec,1,2,2,0,no-cot,balanced-held-out-test
Electoral College must reject Trump #rejecttrump #notmypresident #takingbackdemocracy #blacklivesmatter #nevertrump,0,2,2,0,no-cot,balanced-held-out-test
#Turkey #Yemen Supplies running out for Iraqis left in embattled Mosul,1,0,0,0,no-cot,balanced-held-out-test
"@user @user Yeah, I'm really looking forward to the constant Medicaid paperwork deluge for years on end. So much fun.",2,0,0,0,no-cot,balanced-held-out-test
The people who looted money meant for maternity and vaccines still playing politics with the lives of Kenyans#LipaKamaTender,0,0,0,0,no-cot,balanced-held-out-test
"@user Maybe online but in terms of presence outside the left, tankies have sane leftists beat. Most orgs are composed of tankies.",1,0,0,0,no-cot,balanced-held-out-test
Ayyyyeeeee Thanksgiving 2016 in the books! Good time good time #mannequinchallenge @ New Orleans…,2,2,2,0,no-cot,balanced-held-out-test
"Curry: ""The political dogma of Obama, Clinton and Pope Francis surrounding climate change seems like more of a recipe for ‘anti-science.’""",0,0,0,0,no-cot,balanced-held-out-test
@user    Go get em girl!!!!   👊🏽,2,2,2,0,no-cot,balanced-held-out-test
"#Eurozone BREAKING: Vladimir Putin admits Kim Jong-un is better in every way and would ""love to see... [his] face"" #SydMUN16",2,0,0,0,no-cot,balanced-held-out-test
"“Make Art, and Fight the Power”: A Historically Black National Book Awards - The New Yorker #NBAwards | @user",1,2,2,0,no-cot,balanced-held-out-test
Up North for thanksgiving🦃,1,2,2,0,no-cot,balanced-held-out-test
"Tell it, Sistah! #ElizabethWarren #TrumpTransitionTeam #DrainTheSwamp",2,2,2,0,no-cot,balanced-held-out-test
UN Security Council to vote Monday on proposed ceasefire in Syria's Aleppo.,1,1,1,0,no-cot,balanced-held-out-test
@user Get lost you crooks. Your plan to bring #Burundi where you brought #Libya #Rwanda94 was defeated. Find your next victim elsewhere,0,0,0,0,no-cot,balanced-held-out-test
So if I get in a twitter beef with Drumpf...do I become famous too?Or does Comey and Putin....come for me?,1,2,2,0,no-cot,balanced-held-out-test
Have YOU ever hugged the Eiffel Tower? I HAVE!!! - Google Earth VR: via @user,2,2,2,0,no-cot,balanced-held-out-test
#Yemen army & militia snipers kills Two of Saudi troops in Najran today. #VirulentYemen,0,0,0,0,no-cot,balanced-held-out-test
I have been astonished at the reaction of the liberals. Horrifying.,0,0,0,0,no-cot,balanced-held-out-test
Vaccines should be OPTIONAL because you're the master of your own health and you're not harming others which have agreed to get a vaccine.,1,1,1,0,no-cot,balanced-held-out-test
@user @user @user @user @user @user #WeThePeople  demand #AuditTheVote #AuditTheElection,1,2,2,0,no-cot,balanced-held-out-test
"""the patches] are being used to kill people with dementia, with the idea that it’s cheapest and best to get rid of…",0,0,0,0,no-cot,balanced-held-out-test
Messi's 100 international goals for Barcelona #fcblive  [via @user,2,2,2,0,no-cot,balanced-held-out-test
They steal fox cubs off their moms to teach hounds to rip them apart for their sadism (Terrier-work). How else? It's sadistic! #KeepTheBan,0,0,0,0,no-cot,balanced-held-out-test
"@user ""Alt-rightists"" are notorious for their Asian fetishes, so it's honestly not surprising",0,0,0,0,no-cot,balanced-held-out-test
Moments in time. #Moments #OneDirection #1D,1,1,1,0,no-cot,balanced-held-out-test
Programming robots with blocks – Hacker Noon via @user,1,1,1,0,no-cot,balanced-held-out-test
Go Marine Le Pen!👇👍,2,2,2,0,no-cot,balanced-held-out-test
Our #mannequinchallenge from last night's #steelcitycup charity squash night. Revealing how much raised on Monday,1,2,2,0,no-cot,balanced-held-out-test
speak the truth even though if its leading to death penalty. cause nothing will set you free except THE TRUTH.,2,2,2,0,no-cot,balanced-held-out-test
Retweeted Daniel José Older (@djolder):The honorable @user receiving the #NBAwards and recalling being...,2,2,2,0,no-cot,balanced-held-out-test
@user @user Giving thanks on the corner of @user street -   #p2 #UniteBlue,1,2,2,0,no-cot,balanced-held-out-test
"yesterday was #NationalFastFoodDay, a day where one celebrates, praises, and eventually eats unhealthy food, this is a new low for humanity",0,0,0,0,no-cot,balanced-held-out-test
"Potentially oil rich, Venezuela under won't-let-you-recall-me Pres Maduro is now producing refugees from the misery.",0,0,0,0,no-cot,balanced-held-out-test
"Label scan for Bob Dylan's 12th biggest hit, Subterranean Homesick Blues.",2,2,2,0,no-cot,balanced-held-out-test
"We Need, We Want @user singing #BeautyAndTheBeast @user @user !!!!! 🙏🏻🙏🏻🙏🏻",2,2,2,0,no-cot,balanced-held-out-test
@user @user @user Liberals probly Favored this Job Killin Bullshit Cluster fuck!TPP Would Slaughter Middle Class Income,0,0,0,0,no-cot,balanced-held-out-test
"Obama... Evil, Stupid Or Both? Video - Bill Whittle RETWEET #USA #Conservatives #TeaParty",0,0,0,0,no-cot,balanced-held-out-test
"Melania is the poster child for a woman's lack of power except thru beauty. In speech she said, ""my parents taught…",0,0,0,0,no-cot,balanced-held-out-test
New York Times’ Top Shareholder Is a Clinton Foundation Donor,1,1,1,0,no-cot,balanced-held-out-test
@user @user We honestly did not know you guys were still alive. Grats! #DrainTheSwamp #NRA #FoxNews #realDonaldTrump,2,2,2,0,no-cot,balanced-held-out-test
The Socialist/Fascist Party (aka. Dems) is driving itself into obscurity.,0,0,0,0,no-cot,balanced-held-out-test
"@user @user I mean, he'd be the Cubs best outfielder. He's still really good, he just had a down year imo.",2,2,2,0,no-cot,balanced-held-out-test
United Nations Development Program (UNDP): South Korea offers USD 1M to support stability in #Libya.,2,2,2,0,no-cot,balanced-held-out-test
Racists masochists fascist all the hate words we deplorables are.,0,0,0,0,no-cot,balanced-held-out-test
Bannon bringing Reagan back! #magahttps://t.co/FgL5uiKtJK via @user,1,2,2,0,no-cot,balanced-held-out-test
Not for the #TrumpTransitionTeam it's a prerequisite.,1,0,0,0,no-cot,balanced-held-out-test
@user update: Zac Efron kissing a puppy,2,2,2,0,no-cot,balanced-held-out-test
"FINAL- Fairmont 38 Tippecanoe 28. Allison Mader 18 for Tipp, Madeine Westbeld 16 for Fairmont. #DaytonGirlsHoops",1,1,1,0,no-cot,balanced-held-out-test
"At the #NBAwards finalist reading, the poets were on 🔥. I've been reading these all day & they are brilliant. I can…",2,2,2,0,no-cot,balanced-held-out-test
"@user - dump Pelosi.  Like Harry Reid, she lied about Obamacare and is useless.  Go away.",0,0,0,0,no-cot,balanced-held-out-test
#Spurs #GoSpursGo TIM DUNCAN 2009-10 PANINI CERTIFIED MIRROR BLUE #25 1/100 FIRST ONE !!! #TimDuncan #NBA,2,2,2,0,no-cot,balanced-held-out-test
The only thing standing between the palestine-israel peace agreement is #hamas,1,0,0,0,no-cot,balanced-held-out-test
"Retweeted Lost In History (@HistoryToLearn):Muhammad Ali hugs Pelé at his goodbye match. He said: ""My friend....",2,2,2,0,no-cot,balanced-held-out-test
Obama's latest #BlackLivesMatter recruiting videoWelcome to the Modesto mall...,1,2,2,0,no-cot,balanced-held-out-test
#MuhammadAli Muhammad Ali Leon Spinks On Site Boxing Press Brochure September 15 . 1978 #Legend #Boxer,1,2,2,0,no-cot,balanced-held-out-test
U1: RCC: Christian Views on Homosexuality: Gay marriage vote: The couple hoping to marry in church,1,1,1,0,no-cot,balanced-held-out-test
Trump & his cabinet together w/ his family just downgraded America into Banana Republic in just 2 wks.We're the lau…,0,0,0,0,no-cot,balanced-held-out-test
11/16/16 FastCast: Cy Young winners revealed via @user,1,1,1,0,no-cot,balanced-held-out-test
watching every single 1d interview today  #3YearsofMidnightMemories #MtvStarsNiallHoran #MPN #OneDirection,1,2,2,0,no-cot,balanced-held-out-test
Why is Armstrong still speaking for Carson? It bothers me. I am not basing my concerns solely on the Mother Jones...,0,0,0,0,no-cot,balanced-held-out-test
"@user He was a ""meh"" prime minister for me. No real highlights come to mind of his tenure. Maybe legalising gay marriage?",1,1,1,0,no-cot,balanced-held-out-test
The latest 3D Printing! Thanks to @user @user @user #3dprinting #3d,2,2,2,0,no-cot,balanced-held-out-test
fascinating...https://t.co/VB8x7YOoE5,2,2,2,0,no-cot,balanced-held-out-test
#jocox  supporter of #hamas and #fabian and #hoax death to try and stop #brexitthe #remain cancer lost,0,0,0,0,no-cot,balanced-held-out-test
#Google Earth now available in VR #HTC #virtualreality …,1,2,2,0,no-cot,balanced-held-out-test
"@user babe i thought you can do whatever you want... But, love, I'm no longer want to be without you.",2,2,2,0,no-cot,balanced-held-out-test
I liked a @user video The Sky's Limit: We Need to Stop Fossil Fuels,2,2,2,0,no-cot,balanced-held-out-test
"Raul Castro announced that Cuba would not be allowed to name any streets or monuments after Fidel to ""avoid a cult of personality"" -ABC News",0,1,1,0,no-cot,balanced-held-out-test
Just seen the season finale for westworld and wow... This show is…,2,2,2,0,no-cot,balanced-held-out-test
#BreakingNewslist of the terrorist groups at #Jordan meeting are..#Hamas #katabThawratAlAshreen #AlJaishAlislami #BaathParty & others,0,1,1,0,no-cot,balanced-held-out-test
#AllStar 2011 Panini Gold Standard Stars Memorabilia 19 #LaMarcusAldridge Basketball #Card,1,2,2,0,no-cot,balanced-held-out-test
Let Céline sing the theme Song again! #BeautyAndTheBeast 2017 #emmawatson #BeOurGuest #CelineDion,2,2,2,0,no-cot,balanced-held-out-test
I think I have spent quite enough on Persona 5.,2,0,0,0,no-cot,balanced-held-out-test
Check our #MosulOffensive section to keep up to date with the latest in #Iraq,1,1,1,0,no-cot,balanced-held-out-test
The excitement felt when the #hatchimals hatches. Rosie's face was #priceless .  #hatchybirthday…,2,2,2,0,no-cot,balanced-held-out-test
