text,label
妞醒了，居然自己在干这，昨晚练琴太晚魔杖了吧,5
申请内容不明确的将告知申请人作出更改、补充。,3
听着收音机，窝在被窝里，看着窗外的雪，舒坦,4
太田、里见联军以逸待劳，没等后北条势站稳脚跟，就挥军掩杀过去。,3
你离开咸宁的第一个夜晚（请自动忽略我脸大）,1
说的对一开始对我有好感的会逐渐没了兴趣一开始觉得我很一般的会喜欢我最近梦里的那个人真的不想再见了我会有新的爱情对吗,1
竟然会有人盗我这粉丝这么少的微博，也是醉了，还是凌晨五点,5
自从换了华为手机，小家伙就爱上了自拍……今天小家伙口试，祝顺利！棒棒哒～,4
[星星][星星][星星][半星]，把它当恐怖片时迟疑看不看。终于还是看了，前面吓人，后面气人。感触良多：自私的人最可怕；团结；人活着真累；好大叔居然死了；坏大叔终于死了；男友必须要给力；番茄酱的血很有特点；小女孩的隧道歌声不合逻辑。还有微博限字数太讨厌→_→,2
太太太TM，不开心了！困死宝宝了，那么心大的李二鑫快回来，再不回来真神经衰弱了,0
我就想安安静静准备考试怎么就那么难！！!本来就是被报名，找个人代课说的那么轻松，整整十天课我去哪找人代！！！雇人上一天课至少五十，为这个破事花500值个鸟蛋!!！天天催去上课，影响我看书的心情,0
献之乃上疏曰：“故太傅臣安少振玄风，道誉泮溢。,3
今天最忧伤的消息是，蜀留香的抵用券，涨！价！了！,1
最后一张好恐怖！看到最后一张的时候我吓哭了太吓人了,2
"回想后怕...生命可贵...好好学习...天天向上...珍惜生命...国庆不要一个人到海边玩水...不要踩岸边的滑泥巴摔跤...如果摔跤一定拼命往岸上方向蹭不要顺势掉进水里...[祈祷]感谢有惊无险...全身泥巴站起来时大喊亦无人应,不敢想象如果掉进水中呼救无门后果会怎样...世界晚安...希望今晚不要作溺水的噩梦",2
这不是一般的有才，谁能想到还可以这么整？？？,4
这样的垃圾教练也配得上国家队，这TM是谁的瞎了狗眼,0
看完这个场馆图我简直人生无望了啊！我发现我根本看不见人好么！,0
追大妈的“跑跑叔”竟然是小偷？？！！,5
我也是醉了，就缺这两本书卖钱吗？书也偷啊，写完了的书也偷啊气死人啦！！！,0
一个细小的动作，便可让你砰然心动，一句突然的言语，也能让你所有的幻想化为乌有～～～,4
我们家暖气片烫手……为什么我还觉得冷……,5
今天出了个大大的太阳，晒被子的时候突然发现，我双手打开的时候只比被子短了那么10cm的样子,3
重启完了，回收站里还是没有呀，求救。十万火急。//k,5
乔布斯虽死，但只要苹果公司一直在，他都应被后人铭记。,4
心情很不美丽，总会因为工作上的一些事情让自己很压抑,1
我不行了，我要肝硬化了…看了恐怖片害怕怎么办，刷觉醒副本啊，充满了力量,2
一觉睡到现在，睁眼后，顿时有些发懵，慌张，不知所措，这是啥症状，怎么解,2
“以后不要再问我爱你吗我的回答永远都是三个字”,3
连着几天蒙蒙细雨，冬季里的南京愈加感觉冷了，宿舍楼边上的落叶已经叠了又叠，留下的脚印也已深深地埋在下面，不见踪际。寒风吹来，本就不是阳光的心里又落了一缕尘埃。陌生的城市里，唯有梦中才是最熟悉的感觉。,1
