text,label
"there are flaws , but also stretches of impact and moments of awe ; we 're wrapped up in the characters , how they make their choices , and why .",3
there 's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that reaches across time and distance .,3
a devastating indictment of unbridled greed and materalism .,0
"the overall fabric is hypnotic , and mr. mattei fosters moments of spontaneous intimacy .",4
"quitting , however , manages just to be depressing , as the lead actor phones in his autobiographical performance .",1
"if all of eight legged freaks was as entertaining as the final hour , i would have no problem giving it an unqualified recommendation .",2
makes 98 minutes feel like three hours .,0
i still want my money back .,0
"hopkins , squarely fills the screen .",4
"lush and beautifully photographed -lrb- somebody suggested the stills might make a nice coffee table book -rrb- , but ultimately you 'll leave the theater wondering why these people mattered .",1
it somehow managed to make its way past my crappola radar and find a small place in my heart,2
"but kouyate elicits strong performances from his cast , and he delivers a powerful commentary on how governments lie , no matter who runs them .",3
"combines sharp comedy , old-fashioned monster movie atmospherics , and genuine heart to create a film that 's not merely about kicking undead \*\*\* , but also about dealing with regret and , ultimately , finding redemption .",4
zigzag might have been richer and more observant if it were less densely plotted .,1
the last three narcissists left on earth compete for each others ' affections .,2
