text,true_label,pred_label,llm_response,k_shot,protocol
“人总需要勇敢生存”/我在想要用什么歌词表达此刻感受的时候这首歌就出现在脑海了/例如学会,4,3,3,5,balanced-held-out-test
我家这个才一岁多都开始大鼾了这怎么得了啊，难道真的会遗传？,5,0,0,5,balanced-held-out-test
一个梦、心中又泛起了涟漪！不知怎的心中无爱也无恨…,3,3,3,5,balanced-held-out-test
上微生物的课看寄生虫老师布置的作业，谁让明天考试呢，然后……然后我就被微生物老师提问了，真的是醉啦,0,0,0,5,balanced-held-out-test
我爱的人和爱我的人，我会一直幸福下去哒！,4,4,4,5,balanced-held-out-test
最能让人感到快乐的事，莫过于经过一番努力后，所有东西正慢慢变成你想要的样子！早安,4,4,4,5,balanced-held-out-test
而最大的赢家不是纳斯里或者古尔库夫中的任何一个，却是主帅布兰科。,3,3,3,5,balanced-held-out-test
钱江晚报：[恐怖！台州一轿车被上百根钢筋彻底贯通]昨天下午，台州临海大道西洋村附近，一辆沃尔沃轿车先后与一辆出租车和一辆满载钢筋的三轮车碰撞。三轮车上的上百根钢筋全部刺入轿车，将轿车扎成刺猬。沃尔沃的驾驶员一个飞扑，居然在数百根钢筋的缝隙中找到了一小块空隙逃出。,2,2,2,5,balanced-held-out-test
北方秀暖气！广东等地秀艳阳！那我们中间的呢中间的呢！我特么就快半个月没见过太阳了！已经下了不知道多久的雨了，冷死了,0,2,2,5,balanced-held-out-test
微博搜了一下，叫赵萍萍的美女好多啊、,3,3,3,5,balanced-held-out-test
是的，无论怎样，你都好帅，帅帅帅，喜欢你到爆,4,4,4,5,balanced-held-out-test
越深的夜越难眠，因为对昨天的不甘心，还是对明天的抵触。这里有暖气和咖啡，等一个和我一样的人讲故事给我听。,1,1,1,5,balanced-held-out-test
最近产粮多得要跟不上他的节奏了嘤嘤嘤笑得好甜,4,1,1,5,balanced-held-out-test
睡觉误事……上周才因为睡过头错过了纳米材料导论课的第一节课，更不幸的是还赶上了点名,0,2,2,5,balanced-held-out-test
纽科门的蒸汽机将蒸汽引入气缸后阀门被关闭，然后冷水被撒入汽缸，蒸汽凝结时造成真空。,3,3,3,5,balanced-held-out-test
最爱豪豪，跟他聊就很安心，果真是最重要的几个人在前20年就已经全遇见了吗？那我也很满足了，我不贪心。我不遗忘过去，我要遗忘未来，一如苏铭的选择。我的过去停留在20岁以前，果然可以一直陪我到最后的只有那几个，都是卢心怡级的人啊晚上咖啡喝醉了，好好睡一觉,4,4,4,5,balanced-held-out-test
今天，生化检查结果出来了竞会有四项不合格,5,2,2,5,balanced-held-out-test
今天真的很开心，下午去了图书馆居然碰到了钟金伶，之前就约好了和她今晚去看电影的，哈哈刚好又遇到她，就是缘分，今天看了我的少女时代真的很不错的一部电影噢！喜欢电影有些地方小感动一直喜欢青春的电影，然而看不到欧美大片，以后我不会去看欧美大片的,4,4,4,5,balanced-held-out-test
刚看完医生就开始进入头痛无力各种问题状态，这是啥情况,2,2,2,5,balanced-held-out-test
【醒后不要剧烈运动】许多人；晨起后习惯进行适当的体育锻炼，只要注意。对健康的确有益处。但是。运动必须在晨起后稍作休息一下、待气血阴阳运行平衡后才可进行……,3,3,3,5,balanced-held-out-test
请叫我“电灯泡”～六对情侣我独自一人,1,0,0,5,balanced-held-out-test
刚做了个噩梦…那个女人又来了…她找到了我的这个小号…看到了我的头像…害怕着醒过来了。。。既然梦里都不敢反抗，醒过来就想作一作了,2,0,0,5,balanced-held-out-test
ToughLove那一整场都很经典LilyD在那场实在是美爆了啊啊啊啊感觉Lima10年就是妆容奇怪其他的都赞爆了然后南瓜的那身pink算是好几年之内的最佳了,4,4,4,5,balanced-held-out-test
当物业员——我们物业还给摩托，还是个女士的,5,3,3,5,balanced-held-out-test
恐惧不是来源于多可怕的怪物，而是未知。,2,2,2,5,balanced-held-out-test
那个在nico上翻来覆去没完没了投稿黑细谷的真是够了，被删了还投删了还投，最关键的是你为什么要带不相关的人的tag？？？,0,0,0,5,balanced-held-out-test
老娘天天在家玩游戏??，关键是比我玩的还厉害，我也是醉了！,5,0,0,5,balanced-held-out-test
这名患者叫小仓友基，服用了药物后神志不清，从公寓的阳台上掉下来后，奇迹般地保住了性命，意识也很清醒。,5,3,3,5,balanced-held-out-test
参赛犬只要求在所有犬展上，犬只的健康必须被放在头等重要的位置上。,3,3,3,5,balanced-held-out-test
明天我要开始把mark每天发神经病的视频也传bilibili让大家开心开心浮夸的动作扭捏的表情生硬的口语开始退潮的发际线...一去不回的青春折杀了他多少才华是上天欠他太多...,4,0,0,5,balanced-held-out-test
中国队踢联合国队？一个香港队11个人6个规划球员，黑鬼真几把会玩，假摔球脏，看着就不爽,0,0,0,5,balanced-held-out-test
我好像找到了一个人That'sme,3,4,4,5,balanced-held-out-test
我现在真的是很生气，什么东西都欺负我们，夹在中间哪边都不好做人，各种改要求，各种调整，那原则性的东西定起来，要个屁用！讲一句话，附加一点证明，最基本的准则都要打破，那之前让我们做这么多无用功干嘛！玩我们么！岁数大了脾气也上来了,0,0,0,5,balanced-held-out-test
昨天真是越想越不对劲，你说我手机苹果6是七月买的，这就充不进电了。昨天拿去修，他们居然要收我388块钱。当然保修期还没过。他说这是硬件不保修,0,2,2,5,balanced-held-out-test
新歌倒计时，，，心情不错，，，大家好才是真的好,4,4,4,5,balanced-held-out-test
TSM把三星SSG虐爆了[惊恐]北美邪教厉害了，我现在很害怕。瑟瑟发抖4,2,2,2,5,balanced-held-out-test
米都煮好咯给劳资说休不到那么多了，，，擦，，劳资硬是想打破次元壁嘞来消灭你啊！！！！！,0,0,0,5,balanced-held-out-test
【singleissimple！doubleistrouble.】一个人是孤单，两个人是麻烦！,1,0,0,5,balanced-held-out-test
今天真是烦烦烦！出门没带钥匙！忘了带作业！明天还来一不速之客！我这是招惹谁了啊！,0,0,0,5,balanced-held-out-test
感觉麻麻在变老啊多愁善感让人心疼,1,1,1,5,balanced-held-out-test
曾经走过的日子，也只是最后被遗忘的记忆的碎片…,1,1,1,5,balanced-held-out-test
紧急求助请转发：半月前，在九江沃尔玛超市的路边上躺着一个摔伤约50余岁的先生，已被民警送到市中医院治疗。目前一直找不到家属，现病人颅内出血，处于病危，已经上了呼吸机了。现紧急呼吁，有谁认识这个人，或能帮忙提供线索找到这个病人的家属。请直接打九江庐山南路派出所电话8118189.,1,3,3,5,balanced-held-out-test
才8颗的椰子糖4⃣️0⃣️元好句平均5块一颗,5,3,3,5,balanced-held-out-test
妈，这一年来咱俩都认同的一句话就是：死亡并不可怕，可怕的是等待死亡的过程。我知道你一直不害怕死亡，从你病魔缠身的那刻起你就一直在期待死亡的到来，甚至想提前结束这一切。可是我们却是自私的，我们不能失去你，即使知道多活一天对你来说都是炼狱煎熬我们也不想放弃一丝丝让你活着的希望。我现在...全文,1,1,1,5,balanced-held-out-test
从此，我们之间再无任何瓜葛，我不会再出现在你的世界里，来打扰你的生活。我于你关切的问候，却原来不过是一场自作多情罢了。你有你选择的权利，我有我与生俱来的自尊，或许谁都不该牵绊谁，让我们自由自在地活在珍贵的人间，岁月静好，你我无恙，往后的往后山水不相逢，缘浅缘灭，风过无痕。,1,3,3,5,balanced-held-out-test
记住一个人很容易’忘记一个人很难！呵呵,1,3,3,5,balanced-held-out-test
刚发快递中通小哥欣慰的说终于不都是东三省广东西………我说对啊毕竟五湖四海都有天空树嘛他的表情23333,4,4,4,5,balanced-held-out-test
那句“有我在”触动了我的泪点有多久没有听到过有我在这部电影真的很喜欢,4,4,4,5,balanced-held-out-test
