text,true_label,pred_label
人 总 需 要 勇 敢 生 存 / 我 在 想 要 用 什 么 歌 词 表 达 此 刻 感 受 的 时 候 这 首 歌 就 出 现 在 脑 海 了 / 例 如 学 会,4,4
我 家 这 个 才 一 岁 多 都 开 始 大 鼾 了 这 怎 么 得 了 啊 ， 难 道 真 的 会 遗 传 ？,5,5
一 个 梦 、 心 中 又 泛 起 了 涟 漪 ！ 不 知 怎 的 心 中 无 爱 也 无 恨,3,1
上 微 生 物 的 课 看 寄 生 虫 老 师 布 置 的 作 业 ， 谁 让 明 天 考 试 呢 ， 然 后 然 后 我 就 被 微 生 物 老 师 提 问 了 ， 真 的 是 醉 啦,0,0
我 爱 的 人 和 爱 我 的 人 ， 我 会 一 直 幸 福 下 去 哒 ！,4,4
最 能 让 人 感 到 快 乐 的 事 ， 莫 过 于 经 过 一 番 努 力 后 ， 所 有 东 西 正 慢 慢 变 成 你 想 要 的 样 子 ！ 早 安,4,4
而 最 大 的 赢 家 不 是 纳 斯 里 或 者 古 尔 库 夫 中 的 任 何 一 个 ， 却 是 主 帅 布 兰 科 。,3,3
钱 江 晚 报 ： [ 恐 怖 ！ 台 州 一 轿 车 被 上 百 根 钢 筋 彻 底 贯 通 ] 昨 天 下 午 ， 台 州 临 海 大 道 西 洋 村 附 近 ， 一 辆 沃 尔 沃 轿 车 先 后 与 一 辆 出 租 车 和 一 辆 满 载 钢 筋 的 三 轮 车 碰 撞 。 三 轮 车 上 的 上 百 根 钢 筋 全 部 刺 入 轿 车 ， 将 轿 车 扎 成 刺 猬 。 沃 尔 沃 的 驾 驶 员 一 个 飞 扑 ， 居 然 在 数 百 根 钢 筋 的 缝 隙 中 找 到 了 一 小 块,2,2
北 方 秀 暖 气 ！ 广 东 等 地 秀 艳 阳 ！ 那 我 们 中 间 的 呢 中 间 的 呢 ！ 我 特 么 就 快 半 个 月 没 见 过 太 阳 了 ！ 已 经 下 了 不 知 道 多 久 的 雨 了 ， 冷 死 了,0,1
微 博 搜 了 一 下 ， 叫 赵 萍 萍 的 美 女 好 多 啊 、,3,5
是 的 ， 无 论 怎 样 ， 你 都 好 帅 ， 帅 帅 帅 ， 喜 欢 你 到 爆,4,4
越 深 的 夜 越 难 眠 ， 因 为 对 昨 天 的 不 甘 心 ， 还 是 对 明 天 的 抵 触 。 这 里 有 暖 气 和 咖 啡 ， 等 一 个 和 我 一 样 的 人 讲 故 事 给 我 听 。,1,1
